house_id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
544,60,RL,73,9066,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,320,Gd,TA,PConc,Gd,TA,Mn,GLQ,668.0,Unf,0,336,1004.0,GasA,Ex,Y,SBrkr,1004,848,0,1852,0,0,2,1,3,1,Gd,7,Typ,2,TA,Attchd,Fin,3,660,TA,TA,Y,224,106,0,0,0,0,GdPrv,0,12,2008,WD,Normal,230000
545,50,RL,60,9900,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,7,1940,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,778,778.0,GasA,TA,Y,SBrkr,944,545,0,1489,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,Unf,1,240,TA,TA,Y,335,0,0,0,0,0,GdWo,0,7,2009,WD,Normal,139500
546,60,RM,60,9780,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,7,9,1950,2005,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Ex,CBlock,TA,TA,No,LwQ,354.0,Rec,398,224,976.0,GasA,Ex,Y,SBrkr,976,976,0,1952,0,0,1,1,4,1,Gd,8,Typ,2,TA,Detchd,Fin,1,299,TA,TA,Y,285,0,0,0,216,0,none,0,4,2007,WD,Normal,212300
547,20,RL,0,8076,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,112,TA,TA,PConc,Gd,TA,No,GLQ,705.0,Unf,0,455,1160.0,GasA,Gd,Y,SBrkr,1169,0,0,1169,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,402,TA,TA,Y,0,26,0,0,144,0,MnPrv,0,7,2006,WD,Normal,183500
548,20,RL,0,8475,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,228.0,Unf,0,724,952.0,GasA,Ex,Y,FuseA,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,none,Detchd,Unf,1,283,TA,TA,Y,0,0,0,0,0,0,none,0,4,2008,WD,Normal,135750
549,60,RL,106,11194,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1406,1406.0,GasA,Ex,Y,SBrkr,1454,482,0,1936,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2,504,TA,TA,Y,188,124,0,0,0,0,none,0,11,2006,WD,Normal,230500
550,20,RL,100,21750,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,4,1960,2006,Hip,CompShg,HdBoard,HdBoard,BrkFace,75,TA,Fa,Slab,none,none,none,none,0.0,none,0,0,0.0,GasA,TA,Y,SBrkr,1771,0,0,1771,0,0,1,0,3,1,TA,9,Min1,1,TA,Attchd,Unf,2,336,TA,TA,Y,0,0,0,0,0,0,GdPrv,0,11,2009,WD,Normal,115000
551,20,RL,85,10176,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0,663,1300.0,GasA,Gd,Y,SBrkr,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,Unf,2,506,TA,TA,Y,192,0,0,0,0,0,none,0,2,2010,WD,Normal,171500
552,60,RL,0,9375,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573,TA,TA,PConc,Gd,TA,No,GLQ,739.0,Unf,0,318,1057.0,GasA,Ex,Y,SBrkr,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,none,Attchd,RFn,2,645,TA,TA,Y,576,36,0,0,0,0,GdPrv,0,2,2009,WD,Normal,219500
553,90,RL,64,7018,Pave,none,Reg,Bnk,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,CompShg,Plywood,Plywood,Stone,275,TA,TA,CBlock,Gd,TA,Av,GLQ,1086.0,Unf,0,0,1086.0,GasA,TA,Y,SBrkr,1224,0,0,1224,2,0,0,2,2,2,TA,6,Typ,2,TA,Detchd,Unf,2,528,TA,TA,Y,120,0,0,0,0,0,none,0,6,2009,WD,Alloca,153337
554,60,FV,72,8640,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,822.0,Unf,0,78,900.0,GasA,Ex,Y,SBrkr,932,920,0,1852,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2,644,TA,TA,Y,168,108,0,0,0,0,none,0,7,2009,New,Partial,252678
555,20,RL,78,10140,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,788.0,Unf,0,268,1056.0,GasA,Ex,Y,SBrkr,1074,0,0,1074,1,0,1,1,3,1,TA,6,Typ,0,none,Attchd,RFn,2,495,TA,TA,Y,0,88,0,0,0,0,MnPrv,0,7,2006,WD,Normal,153500
556,160,RL,24,2308,Pave,none,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,1976,1976,Gable,CompShg,Plywood,BrkCmn,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,306.0,Unf,0,498,804.0,GasA,TA,Y,SBrkr,804,744,0,1548,0,0,2,1,3,1,TA,7,Typ,1,TA,Detchd,RFn,2,440,TA,TA,Y,108,0,0,0,0,0,none,0,9,2009,WD,Normal,146000
557,20,RL,86,11210,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,240,Gd,TA,PConc,Gd,TA,Av,GLQ,20.0,Unf,0,1594,1614.0,GasA,Ex,Y,SBrkr,1614,0,0,1614,0,0,2,0,3,1,Gd,7,Typ,0,none,Attchd,RFn,3,865,TA,TA,Y,144,59,0,0,0,0,none,0,7,2006,New,Partial,221500
558,50,RL,55,7642,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,8,1918,1998,Gable,CompShg,WdSdng,WdSdng,None,0,Gd,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,912,912.0,GasA,Gd,Y,SBrkr,912,514,0,1426,0,0,1,1,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,1,216,TA,TA,Y,0,240,0,0,0,0,GdPrv,0,6,2007,WD,Normal,189950
559,20,RL,75,7875,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,BrkFace,136,TA,TA,CBlock,TA,TA,No,Rec,572.0,Unf,0,572,1144.0,GasA,Gd,Y,SBrkr,1144,0,0,1144,1,0,1,0,3,1,TA,6,Typ,0,none,Attchd,Unf,2,456,TA,TA,Y,0,0,0,0,0,0,GdWo,0,9,2008,WD,Normal,139950
560,20,RL,75,8100,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,8,1961,2007,Gable,CompShg,WdSdng,WdSdng,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,764.0,Unf,0,100,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,Gd,5,Typ,1,TA,Detchd,Unf,1,420,TA,TA,Y,132,0,0,0,0,0,none,0,7,2008,WD,Normal,135000
561,20,RL,78,10180,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,Rec,744.0,Unf,0,168,912.0,GasA,TA,Y,SBrkr,1044,0,0,1044,0,1,1,1,3,1,TA,5,Typ,1,Fa,Attchd,Fin,2,372,TA,TA,Y,200,48,0,0,0,0,GdWo,450,6,2008,WD,Normal,139000
562,20,RL,105,11249,Pave,none,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,PConc,Gd,Gd,No,ALQ,334.0,BLQ,544,322,1200.0,GasA,Ex,Y,SBrkr,1200,0,0,1200,1,0,2,0,3,1,Gd,6,Typ,0,none,Attchd,RFn,2,521,TA,TA,Y,0,26,0,0,0,0,none,0,8,2007,WD,Normal,177500
563,60,RL,0,10304,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,PosN,Norm,1Fam,2Story,5,7,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,44,TA,Gd,CBlock,TA,TA,No,ALQ,381.0,Unf,0,399,780.0,GasA,Ex,Y,SBrkr,1088,780,0,1868,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,Unf,2,484,TA,TA,Y,448,96,0,0,0,0,none,0,10,2009,WD,Normal,197500
564,90,RL,100,25000,Pave,none,Reg,Low,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,4,1967,1967,Gable,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,Av,Unf,0.0,Unf,0,1632,1632.0,GasA,TA,Y,SBrkr,1632,0,0,1632,0,0,2,0,4,2,TA,8,Typ,0,none,Attchd,Unf,2,576,TA,TA,P,0,0,0,0,0,0,none,0,6,2007,WD,Normal,143000
565,20,RL,97,11800,Pave,none,IR1,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1974,1974,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Av,BLQ,663.0,Unf,0,201,864.0,GasA,TA,Y,SBrkr,894,0,0,894,0,0,1,0,3,1,TA,5,Typ,0,none,Attchd,Unf,2,440,TA,TA,Y,0,0,0,0,0,0,none,0,8,2007,WD,Family,131000
566,20,RM,62,7311,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,5,1946,1950,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0,407,407.0,GasA,TA,N,FuseA,407,0,0,407,0,0,1,0,1,1,TA,3,Typ,0,none,Detchd,Unf,1,297,Fa,TA,Y,76,0,120,0,0,0,none,0,3,2008,WD,Abnorml,46500
567,50,RL,80,17120,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,None,0,TA,TA,CBlock,none,none,none,none,0.0,none,0,0,0.0,GasA,TA,Y,SBrkr,1120,468,0,1588,0,0,2,0,4,1,TA,7,Min2,1,Gd,Detchd,Fin,2,680,TA,TA,N,0,59,0,0,0,0,none,0,7,2008,WD,Normal,134432
568,20,RH,60,8400,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,WdSdng,AsbShng,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0,721,721.0,GasA,Gd,Y,SBrkr,841,0,0,841,0,0,1,0,2,1,TA,4,Typ,0,none,CarPort,Unf,1,294,TA,TA,N,250,0,24,0,0,0,none,0,9,2009,WD,Normal,82000
569,20,RL,65,7800,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,2008,Hip,CompShg,HdBoard,HdBoard,BrkFace,47,TA,TA,CBlock,TA,TA,Mn,BLQ,240.0,Rec,474,150,864.0,GasA,Ex,Y,SBrkr,892,0,0,892,1,0,1,0,3,1,Gd,5,Typ,0,none,Detchd,Unf,1,416,TA,TA,Y,0,0,0,0,0,0,none,0,6,2010,WD,Normal,137900
570,60,RL,41,12460,Pave,none,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,870.0,Unf,0,167,1037.0,GasA,Ex,Y,SBrkr,1037,1285,0,2322,0,0,2,1,4,1,TA,8,Typ,1,TA,BuiltIn,Fin,2,400,TA,TA,Y,144,44,0,0,0,0,none,0,5,2008,WD,Normal,225000
571,85,RL,70,8400,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Gd,GLQ,744.0,Unf,0,89,833.0,GasA,Gd,Y,SBrkr,898,0,0,898,1,0,1,0,3,1,TA,6,Typ,0,none,Attchd,RFn,1,326,TA,TA,Y,143,0,0,0,0,0,none,0,8,2006,WD,Normal,140000
572,120,RL,39,5389,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0,415,1595.0,GasA,Ex,Y,SBrkr,1616,0,0,1616,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2,608,TA,TA,Y,237,152,0,0,0,0,none,0,3,2010,WD,Normal,236500
573,20,RL,0,13284,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosN,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,WdSdng,Plywood,None,0,TA,TA,PConc,Gd,TA,Mn,BLQ,1064.0,Unf,0,319,1383.0,GasA,TA,Y,SBrkr,1383,0,0,1383,1,0,1,0,3,1,TA,6,Typ,1,Gd,Attchd,Unf,1,354,TA,TA,Y,511,116,0,0,0,0,GdPrv,0,6,2008,WD,Normal,165000
574,20,RL,73,9803,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1214,1214.0,GasA,Ex,Y,SBrkr,1214,0,0,1214,0,0,2,0,2,1,Gd,6,Typ,0,none,Attchd,RFn,2,520,TA,TA,Y,0,25,0,0,0,0,none,0,1,2010,New,Partial,179781
575,60,RL,95,12350,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,986.0,Unf,0,379,1365.0,GasA,Ex,Y,SBrkr,1365,1325,0,2690,1,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,RFn,3,864,TA,TA,Y,0,197,0,0,0,0,none,0,7,2009,New,Partial,398800
576,70,RM,53,9863,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,6,1927,1950,Gambrel,CompShg,WdSdng,WdSdng,None,0,TA,TA,BrkTil,TA,TA,No,LwQ,196.0,Rec,210,322,728.0,GasA,TA,Y,SBrkr,914,728,0,1642,0,1,1,1,4,1,TA,9,Typ,1,Gd,Detchd,Unf,1,374,TA,TA,Y,0,0,0,0,0,0,none,0,3,2007,WD,Abnorml,145000
577,60,FV,68,7379,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,484.0,Unf,0,491,975.0,GasA,Ex,Y,SBrkr,975,873,0,1848,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,RFn,2,592,TA,TA,Y,280,184,0,0,0,0,none,0,4,2010,WD,Normal,254000
578,160,RM,21,2058,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,265,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,672,672.0,GasA,Ex,Y,SBrkr,672,546,0,1218,0,0,1,1,4,1,Ex,7,Typ,0,none,Detchd,Unf,1,264,TA,TA,Y,0,28,0,0,0,0,none,0,12,2007,WD,Normal,113700
579,50,RM,52,6240,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1931,1950,Gable,CompShg,WdSdng,WdSdng,None,0,TA,TA,BrkTil,TA,Fa,No,LwQ,425.0,Unf,0,459,884.0,GasA,TA,Y,FuseA,959,408,0,1367,0,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,Unf,1,560,TA,TA,Y,0,0,0,0,120,0,none,0,11,2007,WD,Normal,127500
580,20,RL,88,9680,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,WdSdng,Plywood,BrkFace,268,TA,TA,CBlock,TA,TA,No,BLQ,1010.0,Unf,0,500,1510.0,GasA,Ex,Y,SBrkr,1510,0,0,1510,1,0,2,0,3,1,Gd,6,Typ,0,none,Attchd,RFn,2,517,TA,TA,Y,0,40,0,0,204,0,GdPrv,0,4,2010,WD,Normal,178900
581,60,RL,54,9783,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,821,821.0,GasA,Gd,Y,SBrkr,821,955,0,1776,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,Fin,2,443,TA,TA,Y,286,116,0,0,0,0,none,0,5,2006,WD,Normal,202000
582,60,RL,90,11250,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1995,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,PConc,Gd,Gd,Av,GLQ,685.0,Unf,0,245,930.0,GasA,Ex,Y,SBrkr,950,1045,0,1995,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,RFn,2,610,TA,TA,Y,275,170,0,0,0,0,none,0,7,2006,WD,Normal,237000
583,60,RL,70,9605,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,982,982.0,GasA,Ex,Y,SBrkr,982,995,0,1977,0,0,2,1,3,1,Gd,7,Typ,0,none,Attchd,RFn,3,574,TA,TA,Y,240,53,0,0,0,0,none,0,7,2007,WD,Family,250000
584,80,RL,80,9600,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,7,1967,1967,Gable,CompShg,MetalSd,MetalSd,BrkFace,140,TA,TA,PConc,TA,TA,Av,ALQ,602.0,Rec,402,137,1141.0,GasA,Gd,Y,SBrkr,1141,0,0,1141,1,0,1,0,3,1,TA,6,Typ,0,none,Attchd,Unf,1,568,TA,TA,Y,0,78,0,0,0,0,none,0,7,2006,WD,Normal,158000
585,50,RM,57,9184,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,7,1948,2005,Gable,CompShg,WdShing,WdShng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,780,780.0,GasA,Ex,Y,SBrkr,948,375,0,1323,0,0,1,0,3,1,TA,6,Typ,0,none,Detchd,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,none,0,7,2008,WD,Normal,122600
586,20,RL,78,9360,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1972,2006,Hip,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,982.0,Unf,0,179,1161.0,GasA,TA,Y,SBrkr,1381,0,0,1381,1,0,1,1,3,1,Gd,5,Typ,1,TA,Attchd,RFn,2,676,TA,TA,Y,0,0,0,0,0,0,none,0,3,2010,WD,Normal,197500
587,70,RM,60,10800,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1890,1999,Gable,CompShg,WdSdng,WdShng,None,0,TA,TA,BrkTil,TA,TA,Mn,Unf,0.0,Unf,0,1313,1313.0,GasW,Gd,Y,SBrkr,1313,1182,0,2495,0,0,2,0,5,1,TA,10,Typ,1,Gd,Detchd,Unf,2,342,TA,Fa,Y,0,299,0,0,0,0,none,0,12,2008,WD,Normal,184000
588,60,RL,65,7800,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,172,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,891,891.0,GasA,Ex,Y,SBrkr,891,795,0,1686,0,0,2,1,3,1,Gd,8,Typ,0,none,Attchd,Fin,2,462,TA,TA,Y,144,101,0,0,0,0,none,0,4,2006,WD,Normal,184000
589,20,RL,114,10357,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,7,5,1990,1991,Hip,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,738.0,Unf,0,172,910.0,GasA,Gd,Y,SBrkr,1442,0,0,1442,1,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,Fin,2,719,TA,TA,Y,0,244,0,0,0,0,none,0,5,2007,WD,Normal,179900
590,50,RL,62,6488,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1942,1950,Gable,CompShg,BrkFace,WdSdng,None,0,TA,TA,BrkTil,TA,TA,No,LwQ,230.0,Unf,0,569,799.0,GasA,Ex,N,FuseA,799,351,0,1150,0,0,1,0,3,1,TA,6,Mod,2,TA,BuiltIn,Unf,1,215,TA,TA,Y,264,0,0,0,0,0,none,0,3,2006,WD,Family,128000
591,190,C(all),50,9000,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,2fmCon,1.5Fin,5,6,1951,1951,Gable,CompShg,WdShing,WdShng,None,0,Fa,Fa,CBlock,TA,TA,Mn,Unf,0.0,Unf,0,660,660.0,GasA,TA,N,SBrkr,1060,336,0,1396,0,0,2,0,4,2,TA,8,Min2,0,none,none,none,0,0,none,none,Y,0,0,0,0,0,0,none,0,10,2006,WD,Abnorml,115000
592,50,C(all),52,5150,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Norm,1Fam,1.5Fin,4,7,1910,2000,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,PConc,Po,TA,No,Unf,0.0,Unf,0,356,356.0,GasA,TA,N,FuseA,671,378,0,1049,0,0,1,0,2,1,TA,5,Typ,0,none,Detchd,Unf,1,195,Po,Fa,N,0,0,0,0,0,0,none,0,5,2008,WD,Normal,80900
593,60,RL,80,10400,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,288,TA,TA,CBlock,TA,TA,No,Rec,247.0,Unf,0,485,732.0,GasA,Gd,Y,SBrkr,1012,778,0,1790,1,0,1,2,4,1,TA,8,Min2,1,TA,Attchd,RFn,2,484,TA,TA,Y,148,0,0,0,147,0,none,0,11,2006,WD,Normal,165150
594,20,RL,64,8712,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1957,2000,Hip,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,Mn,BLQ,860.0,Unf,0,132,992.0,GasA,TA,Y,SBrkr,1306,0,0,1306,1,0,1,0,2,1,TA,5,Typ,0,none,Detchd,Unf,1,756,TA,TA,Y,0,0,0,0,0,0,none,0,5,2009,WD,Normal,153000
595,85,RL,0,10050,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,5,6,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,87,TA,TA,CBlock,TA,TA,Av,GLQ,602.0,Unf,0,191,793.0,GasA,Ex,Y,SBrkr,1280,0,0,1280,0,1,2,0,3,1,TA,6,Typ,1,TA,Basment,Fin,2,432,TA,TA,Y,140,40,0,0,0,0,none,0,6,2007,WD,Normal,175000
596,20,RL,120,14780,Pave,none,IR1,HLS,AllPub,Corner,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,568,Ex,TA,PConc,Ex,TA,Gd,GLQ,1505.0,Unf,0,363,1868.0,GasA,Ex,Y,SBrkr,1868,0,0,1868,1,0,2,0,2,1,Ex,7,Typ,1,Gd,Attchd,Fin,3,1085,TA,TA,Y,354,56,0,0,156,0,none,0,6,2006,WD,Normal,415000
597,20,RL,78,10140,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,7,5,1998,1999,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,LwQ,144.0,GLQ,1127,379,1650.0,GasA,Ex,Y,SBrkr,1680,0,0,1680,1,0,2,0,3,1,Gd,7,Maj1,1,TA,Attchd,Fin,2,583,TA,TA,Y,78,73,0,0,0,0,none,0,6,2009,WD,Normal,213250
